[2024-01-27 16:40:42,887: INFO: main: siuu]
[2024-01-27 19:38:21,901: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-27 19:38:21,905: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-27 19:39:45,572: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-27 19:39:45,576: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-27 19:39:45,578: INFO: common: created directory at: artifacts]
[2024-01-27 19:39:45,580: INFO: common: created directory at: artifacts\data_ingestion]
[2024-01-27 19:52:53,857: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-27 19:52:53,859: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-27 19:52:53,859: INFO: common: created directory at: artifacts]
[2024-01-27 19:52:53,859: INFO: common: created directory at: artifacts\data_ingestion]
[2024-01-28 12:32:29,034: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 12:32:29,050: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 12:32:29,050: INFO: common: created directory at: artifacts]
[2024-01-28 12:32:29,056: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 12:33:39,387: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 12:33:39,387: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 12:33:39,387: INFO: common: created directory at: artifacts]
[2024-01-28 12:33:39,394: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 12:34:23,921: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 12:34:23,931: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 12:34:23,931: INFO: common: created directory at: artifacts]
[2024-01-28 12:34:23,931: INFO: common: created directory at: artifacts\data_ingestion]
[2024-01-28 12:35:37,848: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 12:35:37,848: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 12:35:37,856: INFO: common: created directory at: artifacts]
[2024-01-28 12:35:37,856: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 12:42:27,179: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 12:42:27,179: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 12:42:27,188: INFO: common: created directory at: artifacts]
[2024-01-28 12:42:27,188: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 12:49:30,181: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 12:49:30,182: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 12:49:30,185: INFO: common: created directory at: artifacts]
[2024-01-28 12:49:30,185: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 12:54:09,420: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 12:54:09,429: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 12:54:09,429: INFO: common: created directory at: artifacts]
[2024-01-28 12:54:09,429: INFO: common: created directory at: artifacts\model_trainer]
